Komoditas,no,name,level,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Provinsi
Daging Sapi,II,Kepulauan Bangka Belitung,1,"134,750","132,850","133,250","137,650","136,000","135,300","135,350","135,100","135,000","135,000","135,000","135,000","134,950","135,000","137,550","135,650","133,450","133,450","133,450","133,450","133,450","133,450","133,450","134,150","135,000","142,600","147,550","140,550",Kepulauan
Telur Ayam,II,Kepulauan Bangka Belitung,1,"31,050","31,800","33,450","32,800","32,650","32,000","32,100","32,450","32,500","32,350","32,500","32,800","33,300","32,700","32,900","32,900","33,000","32,950","32,750","32,650","32,700","33,350","33,750","33,050","33,300","33,750","33,750","33,750",Kepulauan
Bawang Merah,II,Kepulauan Bangka Belitung,1,"41,000","37,900","40,000","56,950","60,650","50,900","36,900","29,450","29,800","31,950","39,750","42,600","43,750","40,000","52,950","61,550","49,700","49,900","53,000","57,700","46,150","44,550","47,600","52,500","44,900","47,100","50,550","51,100",Kepulauan
Bawang Putih,II,Kepulauan Bangka Belitung,1,"40,250","39,700","40,800","42,350","43,000","42,050","40,350","40,050","40,300","39,950","40,350","42,000","42,050","43,300","45,150","46,200","41,400","37,950","37,600","37,100","37,100","37,900","37,300","38,600","38,350","38,300","38,150","37,200",Kepulauan
Cabai Merah,II,Kepulauan Bangka Belitung,1,"72,550","81,400","75,850","59,750","58,650","62,150","53,250","51,650","39,150","33,550","32,800","41,950","76,300","67,000","62,900","73,850","51,950","48,100","48,500","48,100","67,400","73,050","68,750","77,000","56,450","56,700","58,200","47,050",Kepulauan
Cabai Rawit,II,Kepulauan Bangka Belitung,1,"66,950","71,100","68,800","59,350","55,950","55,150","64,450","69,800","53,350","51,850","46,200","43,400","81,700","76,050","84,500","89,550","55,100","64,250","66,900","56,700","59,350","57,000","51,600","79,550","70,700","73,250","72,950","72,950",Kepulauan
Minyak Goreng,II,Kepulauan Bangka Belitung,1,"16,850","16,800","17,100","17,000","17,150","17,300","17,200","17,250","17,500","17,600","17,750","18,100","18,600","19,550","19,350","19,300","19,250","19,250","19,200","19,200","19,200","19,150","19,000","18,750","19,150","19,200","19,800","20,450",Kepulauan
Gula Pasir,II,Kepulauan Bangka Belitung,1,"17,050","17,100","17,200","17,450","18,050","18,050","17,900","17,850","17,800","17,800","17,850","17,850","18,050","18,500","18,550","18,600","18,450","18,450","18,450","18,450","18,450","18,400","18,350","18,250","18,250","18,300","18,300","18,700",Kepulauan
Beras,II,Kalimantan Utara,1,"16,150","16,550","16,900","17,050","16,950","16,900","16,750","16,750","16,700","16,650","16,650","16,650","16,550","16,550","16,550","16,550","16,600","16,650","16,950","17,150","17,450","17,300","17,250","17,250","17,200","17,450","17,650","17,750",Kalimantan
Daging Ayam,II,Kalimantan Utara,1,"49,150","52,300","49,500","48,450","48,150","48,050","44,950","46,200","44,800","46,300","43,650","43,750","48,100","48,900","46,550","45,200","43,400","41,650","42,450","44,250","44,850","45,400","45,300","45,000","44,700","47,600","50,950","49,150",Kalimantan
