Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Tahun,Tipe_Inflasi
JAWA TENGAH,1.28,-0.08,0.75,1.94,1.66,2.2,2.52,2.48,2.65,2.86,2.79,2.72,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
DI YOGYAKARTA,0.95,-0.3,0.52,2.1,2.04,2.52,2.6,2.3,2.56,2.9,2.92,3.11,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
JAWA TIMUR,1.06,-0.03,0.77,1.35,1.22,2.02,2.21,2.17,2.53,2.69,2.63,2.93,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BANTEN,0.85,-0.33,0.7,1.59,1.57,1.83,2.29,1.95,2.31,2.75,2.56,2.74,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
BALI,2.41,1.21,1.89,2.3,1.92,2.94,3.16,2.65,2.51,2.61,2.51,2.91,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
NUSA TENGGARA BARAT,0.68,-0.01,1.15,1.8,1.63,2.51,3.05,2.56,2.69,2.96,2.74,3.01,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
NUSA TENGGARA TIMUR,-0.06,0.47,1.86,1.77,1.6,1.72,3.03,2.71,2.3,2.0,2.4,2.39,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN BARAT,0.15,0.04,0.94,1.2,0.59,1.2,2.14,2.13,1.94,2.07,2.04,1.85,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN TENGAH,0.28,0.28,1.33,1.21,0.46,1.06,2.13,2.08,2.35,2.73,2.56,3.13,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN SELATAN,0.62,0.25,1.2,1.57,1.25,1.81,2.48,2.68,2.91,3.11,3.35,3.66,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN TIMUR,0.21,-0.3,1.36,1.57,1.03,1.62,2.08,1.79,1.77,1.94,2.28,2.68,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
KALIMANTAN UTARA,-0.12,-0.49,1.24,1.3,1.24,1.38,1.99,2.24,2.32,2.23,2.47,2.57,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI UTARA,-0.25,-0.15,1.41,2.27,1.53,1.71,2.04,0.94,1.57,1.48,0.65,1.23,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI TENGAH,0.02,-0.38,1.88,2.97,2.61,2.47,3.69,4.02,3.88,3.92,3.5,3.31,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI SELATAN,0.1,-1.09,0.67,2.28,2.04,2.24,3.05,3.12,3.03,2.98,2.73,2.84,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI TENGGARA,-0.39,-0.22,1.53,1.96,1.71,2.52,3.72,3.75,3.68,3.26,2.94,2.86,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
GORONTALO,-1.52,-0.29,1.76,2.3,0.28,0.8,3.12,2.51,1.99,2.44,2.21,2.52,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
SULAWESI BARAT,0.32,-0.24,1.55,3.36,3.21,2.57,3.57,3.52,3.04,2.64,2.56,2.48,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
MALUKU,0.76,1.33,3.54,3.34,2.24,1.88,2.99,3.25,3.01,2.3,2.33,3.58,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
MALUKU UTARA,-0.15,0.16,2.32,3.23,1.89,2.01,2.46,0.43,-0.17,1.18,1.89,1.63,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA BARAT,-0.44,-1.98,-0.23,0.15,-1.51,-0.67,0.43,-0.87,1.02,1.42,1.33,2.59,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA BARAT DAYA,0.36,-0.49,0.24,0.41,0.36,0.5,0.96,1.88,1.3,1.36,1.38,2.15,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA,0.6,0.81,2.15,1.64,1.33,1.07,1.4,0.54,0.99,0.53,0.8,2.54,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA SELATAN,0.45,0.31,2.68,3.57,2.19,3.0,5.45,3.78,3.42,3.43,3.39,2.95,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA TENGAH,0.99,2.09,3.7,3.71,2.26,2.33,2.89,1.86,2.28,2.11,2.53,3.28,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
PAPUA PEGUNUNGAN,4.55,7.99,8.05,5.96,5.75,2.01,4.15,3.71,3.55,3.32,4.05,3.22,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
INDONESIA,0.76,-0.09,1.03,1.95,1.6,1.87,2.37,2.31,2.65,2.86,2.72,2.92,-,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100)
ACEH,-0.13,-0.61,0.98,2.6,2.0,1.87,2.56,3.36,3.56,3.68,2.99,6.71,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA UTARA,0.07,-0.57,0.11,1.46,0.97,0.77,1.54,2.93,3.6,3.39,2.96,4.66,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA BARAT,0.03,-0.13,0.9,2.68,1.67,1.41,2.06,2.59,3.46,3.87,3.62,5.15,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
RIAU,-0.02,-0.52,0.86,2.3,1.5,1.28,1.91,2.78,3.92,3.85,3.63,4.88,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAMBI,-0.13,-0.73,0.39,2.1,1.41,1.65,2.18,2.22,3.05,3.02,3.07,3.71,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
SUMATERA SELATAN,-0.36,-0.77,0.75,2.15,1.79,1.88,2.02,1.98,2.25,2.38,2.4,2.91,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
BENGKULU,-0.59,-1.16,0.1,1.42,1.15,0.61,1.02,1.12,2.1,2.29,2.33,2.77,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
LAMPUNG,-0.71,-1.36,0.57,1.77,1.18,1.22,1.41,-0.08,0.07,0.3,0.66,1.25,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. BANGKA BELITUNG,-0.85,-0.88,0.93,1.71,0.81,0.7,1.35,0.88,1.34,1.84,2.21,2.77,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
KEP. RIAU,0.43,0.29,0.67,1.27,0.82,0.7,0.88,1.07,1.71,2.08,2.31,3.47,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DKI JAKARTA,-1.5,-1.79,0.18,1.62,1.37,1.5,1.62,1.57,1.7,2.02,2.29,2.63,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA BARAT,-0.68,-1.29,0.29,1.3,0.98,1.25,1.56,1.36,1.57,2.03,2.19,2.63,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
JAWA TENGAH,-0.46,-1.23,0.18,1.56,1.06,1.31,1.49,1.39,1.61,2.01,2.2,2.72,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
DI YOGYAKARTA,-0.35,-1.2,0.04,1.71,1.56,1.79,1.84,1.59,1.74,2.18,2.45,3.11,-,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100)
