Provinsi,Tahun,Tipe_Inflasi,Bulan,Inflasi
PAPUA TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.78
PAPUA PEGUNUNGAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.23
INDONESIA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.76
ACEH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.15
SUMATERA UTARA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.75
SUMATERA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-1.15
RIAU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.45
JAMBI,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.47
SUMATERA SELATAN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.05
BENGKULU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.75
LAMPUNG,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.07
KEPULAUAN BANGKA BELITUNG,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.28
KEPULAUAN RIAU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.09
DKI JAKARTA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.23
JAWA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.09
JAWA TENGAH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.35
DI YOGYAKARTA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.16
JAWA TIMUR,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.2
BANTEN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.34
BALI,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,-0.34
NUSA TENGGARA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Januari,0.27
