Provinsi,Tahun,Tipe_Inflasi,Bulan,Inflasi
PAPUA BARAT DAYA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),November,
PAPUA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),November,
PAPUA SELATAN,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),November,
PAPUA TENGAH,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),November,
PAPUA PEGUNUNGAN,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),November,
INDONESIA,2026,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),November,
ACEH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.57
SUMATERA UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.98
SUMATERA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.35
RIAU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.62
JAMBI,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.46
SUMATERA SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.5
BENGKULU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.34
LAMPUNG,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.47
KEPULAUAN BANGKA BELITUNG,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.65
KEPULAUAN RIAU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.68
DKI JAKARTA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.37
JAWA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.35
JAWA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.57
DI YOGYAKARTA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.46
JAWA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.46
BANTEN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.5
BALI,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.31
NUSA TENGGARA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.46
NUSA TENGGARA TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.82
KALIMANTAN BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.46
KALIMANTAN TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.48
KALIMANTAN SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.46
KALIMANTAN TIMUR,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.31
KALIMANTAN UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.44
SULAWESI UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,-0.07
SULAWESI TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.32
SULAWESI SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.38
SULAWESI TENGGARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.29
GORONTALO,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.57
SULAWESI BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.66
MALUKU,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,-0.41
MALUKU UTARA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.31
PAPUA BARAT,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.34
PAPUA BARAT DAYA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,-0.11
PAPUA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.05
PAPUA SELATAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.24
PAPUA TENGAH,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.23
PAPUA PEGUNUNGAN,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,2.39
INDONESIA,2024,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.44
ACEH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,6.71
SUMATERA UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,4.66
SUMATERA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,5.15
RIAU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,4.88
JAMBI,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.71
SUMATERA SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.91
BENGKULU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.77
LAMPUNG,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.25
KEPULAUAN BANGKA BELITUNG,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.77
KEPULAUAN RIAU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.47
DKI JAKARTA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.63
JAWA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.63
JAWA TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.72
DI YOGYAKARTA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.11
JAWA TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.93
BANTEN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.74
BALI,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.91
NUSA TENGGARA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.01
NUSA TENGGARA TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.39
KALIMANTAN BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.85
KALIMANTAN TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.13
KALIMANTAN SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.66
KALIMANTAN TIMUR,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.68
KALIMANTAN UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.57
SULAWESI UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.23
SULAWESI TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.31
SULAWESI SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.84
SULAWESI TENGGARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.86
GORONTALO,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.52
SULAWESI BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.48
MALUKU,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.58
MALUKU UTARA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.63
PAPUA BARAT,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.59
PAPUA BARAT DAYA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.15
PAPUA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.54
PAPUA SELATAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.95
PAPUA TENGAH,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.28
PAPUA PEGUNUNGAN,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.22
INDONESIA,2025,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.92
ACEH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,6.71
SUMATERA UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,4.66
SUMATERA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,5.15
RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,4.88
JAMBI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.71
SUMATERA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.91
BENGKULU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.77
LAMPUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.25
KEP. BANGKA BELITUNG,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.77
KEP. RIAU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.47
DKI JAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.63
JAWA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.63
JAWA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.72
DI YOGYAKARTA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.11
JAWA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.93
BANTEN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.74
BALI,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.91
NUSA TENGGARA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.01
NUSA TENGGARA TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.39
KALIMANTAN BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.85
KALIMANTAN TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.13
KALIMANTAN SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.66
KALIMANTAN TIMUR,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.68
KALIMANTAN UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.57
SULAWESI UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.23
SULAWESI TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.31
SULAWESI SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.84
SULAWESI TENGGARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.86
GORONTALO,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.52
SULAWESI BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.48
MALUKU,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.58
MALUKU UTARA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.63
PAPUA BARAT,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.59
PAPUA BARAT DAYA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.15
PAPUA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.54
PAPUA SELATAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.95
PAPUA TENGAH,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.28
PAPUA PEGUNUNGAN,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.22
INDONESIA,2025,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.92
ACEH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.17
SUMATERA UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.12
SUMATERA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,0.89
RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.25
JAMBI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.43
SUMATERA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.2
BENGKULU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,0.84
LAMPUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.57
KEP. BANGKA BELITUNG,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,0.75
KEP. RIAU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.09
DKI JAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.48
JAWA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.64
JAWA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.67
DI YOGYAKARTA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.28
JAWA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.51
BANTEN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.88
BALI,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.34
NUSA TENGGARA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.28
NUSA TENGGARA TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.19
KALIMANTAN BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.71
KALIMANTAN TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.03
KALIMANTAN SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.95
KALIMANTAN TIMUR,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.47
KALIMANTAN UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.29
SULAWESI UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,0.44
SULAWESI TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.29
SULAWESI SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.23
SULAWESI TENGGARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.05
GORONTALO,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,-0.79
SULAWESI BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.49
MALUKU,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.28
MALUKU UTARA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.5
PAPUA BARAT,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,2.53
PAPUA BARAT DAYA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.87
PAPUA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.75
PAPUA SELATAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.78
PAPUA TENGAH,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,3.27
PAPUA PEGUNUNGAN,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,5.36
INDONESIA,2024,Inflasi Tahun Kalender (Y-to-D) 38 Provinsi (2022=100),Desember,1.57
ACEH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.17
SUMATERA UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.12
SUMATERA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,0.89
RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.25
JAMBI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.43
SUMATERA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.2
BENGKULU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,0.84
LAMPUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.57
KEPULAUAN BANGKA BELITUNG,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,0.75
KEPULAUAN RIAU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.09
DKI JAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.48
JAWA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.64
JAWA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.67
DI YOGYAKARTA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.28
JAWA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.51
BANTEN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.88
BALI,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.34
NUSA TENGGARA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.28
NUSA TENGGARA TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.19
KALIMANTAN BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.71
KALIMANTAN TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.03
KALIMANTAN SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.95
KALIMANTAN TIMUR,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.47
KALIMANTAN UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.29
SULAWESI UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,0.44
SULAWESI TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.29
SULAWESI SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.23
SULAWESI TENGGARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.05
GORONTALO,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,-0.79
SULAWESI BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.49
MALUKU,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.28
MALUKU UTARA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.5
PAPUA BARAT,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,2.53
PAPUA BARAT DAYA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.87
PAPUA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.75
PAPUA SELATAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.78
PAPUA TENGAH,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,3.27
PAPUA PEGUNUNGAN,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,5.36
INDONESIA,2024,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),Desember,1.57
ACEH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,3.6
SUMATERA UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.66
SUMATERA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.48
RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.21
JAMBI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.62
SUMATERA SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.49
BENGKULU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.43
LAMPUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.59
KEPULAUAN BANGKA BELITUNG,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.55
KEPULAUAN RIAU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.14
DKI JAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.33
JAWA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.43
JAWA TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.5
DI YOGYAKARTA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.65
JAWA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.76
BANTEN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.67
BALI,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.7
NUSA TENGGARA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.72
NUSA TENGGARA TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.81
KALIMANTAN BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.28
KALIMANTAN TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.04
KALIMANTAN SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.76
KALIMANTAN TIMUR,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.71
KALIMANTAN UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.54
SULAWESI UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.51
SULAWESI TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.14
SULAWESI SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.49
SULAWESI TENGGARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.22
GORONTALO,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.88
SULAWESI BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.58
MALUKU,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.81
MALUKU UTARA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.05
PAPUA BARAT,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.6
PAPUA BARAT DAYA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.65
PAPUA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.77
PAPUA SELATAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.81
PAPUA TENGAH,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.96
PAPUA PEGUNUNGAN,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,1.58
INDONESIA,2025,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,0.64
ACEH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
SUMATERA UTARA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
SUMATERA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
RIAU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
JAMBI,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
SUMATERA SELATAN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
BENGKULU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
LAMPUNG,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
KEPULAUAN BANGKA BELITUNG,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
KEPULAUAN RIAU,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
DKI JAKARTA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
JAWA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
JAWA TENGAH,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
DI YOGYAKARTA,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
JAWA TIMUR,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
BANTEN,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
BALI,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
NUSA TENGGARA BARAT,2026,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100),Desember,
